,version,month,sentiment_score,month_name
7758,27,9,0.6,September
1430,27,9,1,September
7771,27,9,0.8,September
7760,27,9,1,September
1423,27,9,0.205555556,September
1416,27,9,0.434722222,September
7764,27,9,0.666666667,September
1411,27,9,0.283333333,September
7763,27,9,0.78,September
7761,27,9,0.75,September
7768,27,9,1,September
1364,27,9,0.333333333,September
1298,27,9,0.55,September
7728,27,9,0.468181818,September
7727,27,9,0,September
1309,27,9,-0.253125,September
1306,27,9,0.125,September
7725,27,9,0.7,September
1370,27,9,0.25,September
1297,27,9,0.8,September
7722,27,9,0.39,September
1289,27,9,0.25,September
1285,27,9,-0.06,September
1319,27,9,0.165277778,September
1320,27,9,-0.033333333,September
7731,27,9,1,September
1323,27,9,0.433333333,September
1354,27,9,0.39,September
7742,27,9,0,September
7741,27,9,1,September
7740,27,9,0,September
7393,27,9,1,September
7736,27,9,0.4,September
1329,27,9,-0.133333333,September
7738,27,9,1,September
865,27,9,0.1,September
838,27,9,0.028571429,September
11816,27,9,-0.014285714,September
7735,27,9,0.78,September
1830,27,9,-0.033333333,September
416,27,9,-0.05,September
414,27,9,0.267857143,September
7389,27,9,0.2,September
410,27,9,0.35,September
424,27,9,0.15,September
406,27,9,0.443333333,September
402,27,9,0.164285714,September
400,27,9,-0.032142857,September
7392,27,9,0.5,September
1136,27,9,0.6,September
7408,27,9,0.5,September
7404,27,9,0.5,September
7403,27,9,0.7,September
7410,27,9,0,September
445,27,9,0.489090909,September
442,27,9,0.324715909,September
440,27,9,0.028484848,September
7396,27,9,-0.3,September
7401,27,9,1,September
430,27,9,0.085454545,September
1357,27,9,0.448877551,September
364,27,9,0,September
362,27,9,0.138920455,September
7370,27,9,0,September
359,27,9,0.322222222,September
7394,27,9,0.35,September
7368,27,9,0.8,September
7364,27,9,0.2,September
352,27,9,-0.345061728,September
7361,27,9,0.85,September
7360,27,9,0.7,September
346,27,9,0.476190476,September
344,27,9,0.134545455,September
7365,27,9,0.644444444,September
7358,27,9,0.75,September
7465,27,9,1,September
7371,27,9,0.7,September
7372,27,9,0,September
368,27,9,-0.1,September
7357,27,9,0.41,September
7382,27,9,0.05,September
7380,27,9,0.8,September
384,27,9,0.154761905,September
383,27,9,0.2975,September
382,27,9,0.2,September
7379,27,9,1,September
380,27,9,0.378787879,September
379,27,9,0.214285714,September
7381,27,9,1,September
7475,27,9,-0.125,September
340,27,9,0.175925926,September
370,27,9,-0.102380952,September
338,27,9,-0.25,September
7412,27,9,0.755,September
552,27,9,0.533333333,September
550,27,9,0.178787879,September
7477,27,9,-0.25,September
7476,27,9,0.7,September
551,27,9,0.241071429,September
7375,27,9,0.2,September
7472,27,9,0.5,September
7470,27,9,0.39,September
534,27,9,0.2,September
533,27,9,0.011904762,September
529,27,9,0.335,September
554,27,9,0.000857143,September
528,27,9,0.171875,September
7493,27,9,0.7,September
7492,27,9,1,September
578,27,9,0.205277778,September
572,27,9,0,September
589,27,9,0.216666667,September
7490,27,9,0.642857143,September
7471,27,9,0.2,September
564,27,9,0.303181818,September
7487,27,9,0,September
561,27,9,0.085185185,September
7486,27,9,0.5,September
7485,27,9,1,September
556,27,9,-0.075,September
7439,27,9,0,September
7438,27,9,-0.4,September
7435,27,9,0.755,September
7484,27,9,0.8,September
7473,27,9,-0.6,September
